user;time;id;name;display
1;29.17;41;tomadaRuim;Oculus Rift
1;35.05;37;quadro-solto-prefab;Oculus Rift
1;39.79;18;tapete-enrolado;Oculus Rift
1;46.21;3;tomadaSemSinalizacao;Oculus Rift
1;52.39;15;Produtos;Oculus Rift
2;32.18;41;tomadaRuim;Oculus Rift
3;23.31;37;quadro-solto-prefab;Monitor
3;38.63;21;escada-entrada-molhada;Monitor
3;42.29;41;tomadaRuim;Monitor
3;48.95;40;carpet_stain;Monitor
3;68.87;15;Produtos;Monitor
3;92.10;46;buraco2;Monitor
3;102.80;27;buraco1;Monitor
3;177.20;43;quadroSolto;Monitor
3;180.66;25;outlets-caida;Monitor
3;194.58;17;carpet-stain;Monitor
4;34.01;37;quadro-solto-prefab;Oculus Rift
4;38.11;15;Produtos;Oculus Rift
5;40.16;37;quadro-solto-prefab;Monitor
5;71.49;15;Produtos;Monitor
5;233.17;10;equips-mesma-tomada-fun;Monitor
5;237.78;29;mesaCozinha;Monitor
5;241.02;45;lixoNoChao;Monitor
5;244.12;43;quadroSolto;Monitor
5;258.27;34;cadeiraCozinha;Monitor
5;270.93;30;copo-mesacozinha;Monitor
6;16.67;37;quadro-solto-prefab;Oculus Rift
6;23.09;41;tomadaRuim;Oculus Rift
6;25.09;18;tapete-enrolado;Oculus Rift
6;33.45;40;carpet_stain;Oculus Rift
6;40.19;15;Produtos;Oculus Rift
6;112.12;27;buraco1;Oculus Rift
6;125.84;46;buraco2;Oculus Rift
6;146.98;43;quadroSolto;Oculus Rift
6;151.81;45;lixoNoChao;Oculus Rift
6;153.94;5;piso-quebrado;Oculus Rift
6;176.34;17;carpet-stain;Oculus Rift
6;183.61;6;carpete-enrolado;Oculus Rift
7;64.81;41;tomadaRuim;Monitor
7;70.19;37;quadro-solto-prefab;Monitor
7;100.16;51;EquipsManutencao;Monitor
7;309.66;43;quadroSolto;Monitor
7;321.53;25;outlets-caida;Monitor
7;335.01;38;lixeira-escritorio;Monitor
7;386.27;2;corda;Monitor
7;401.12;52;Lampada Estragada;Monitor
8;72.17;41;tomadaRuim;Oculus Rift
8;239.83;46;buraco2;Oculus Rift
8;311.36;32;outlets-semEspelho;Oculus Rift
8;365.80;34;cadeiraCozinha;Oculus Rift
8;421.38;36;piso-umido-adm;Oculus Rift
8;427.28;9;gaveteiro-bloqueando-corredor;Oculus Rift
9;25.31;41;tomadaRuim;Oculus Rift
9;34.97;37;quadro-solto-prefab;Oculus Rift
9;156.96;45;lixoNoChao;Oculus Rift
9;161.82;43;quadroSolto;Oculus Rift
9;193.70;17;carpet-stain;Oculus Rift
10;44.08;53;extinjtor-obstruido-patio;Monitor
10;55.40;37;quadro-solto-prefab;Monitor
10;63.05;46;buraco2;Monitor
10;69.02;51;EquipsManutencao;Monitor
10;84.08;27;buraco1;Monitor
10;126.46;43;quadroSolto;Monitor
10;131.66;25;outlets-caida;Monitor
10;138.63;38;lixeira-escritorio;Monitor
10;149.50;45;lixoNoChao;Monitor
10;155.54;5;piso-quebrado;Monitor
10;163.98;34;cadeiraCozinha;Monitor
10;169.61;29;mesaCozinha;Monitor
10;174.50;10;equips-mesma-tomada-fun;Monitor
10;177.79;31;gaveta-cozinha-aberta;Monitor
10;197.78;33;armarioAberto-fun;Monitor
10;205.34;17;carpet-stain;Monitor
10;212.98;7;mochila;Monitor
10;220.56;6;carpete-enrolado;Monitor
11;13.23;18;tapete-enrolado;Oculus Rift
11;16.74;37;quadro-solto-prefab;Oculus Rift
11;33.87;3;tomadaSemSinalizacao;Oculus Rift
11;36.95;41;tomadaRuim;Oculus Rift
11;83.84;46;buraco2;Oculus Rift
11;104.28;27;buraco1;Oculus Rift
11;176.89;43;quadroSolto;Oculus Rift
11;186.20;25;outlets-caida;Oculus Rift
11;213.03;14;cadeirasNoCaminho;Oculus Rift
11;215.84;38;lixeira-escritorio;Oculus Rift
11;216.77;1;cabinet-open-doors;Oculus Rift
11;219.72;6;carpete-enrolado;Oculus Rift
11;232.61;9;gaveteiro-bloqueando-corredor;Oculus Rift
11;254.43;2;corda;Oculus Rift
11;263.81;17;carpet-stain;Oculus Rift
11;277.15;45;lixoNoChao;Oculus Rift
12;14.57;18;tapete-enrolado;Monitor
12;21.53;37;quadro-solto-prefab;Monitor
12;40.45;41;tomadaRuim;Monitor
12;54.25;40;carpet_stain;Monitor
12;99.06;19;corda-patio;Monitor
12;109.75;43;quadroSolto;Monitor
12;132.02;10;equips-mesma-tomada-fun;Monitor
12;146.91;13;piso-molhado-fun;Monitor
12;151.55;29;mesaCozinha;Monitor
12;180.46;17;carpet-stain;Monitor
12;192.49;2;corda;Monitor
13;15.27;18;tapete-enrolado;Oculus Rift
13;48.46;41;tomadaRuim;Oculus Rift
13;83.25;37;quadro-solto-prefab;Oculus Rift
13;113.14;46;buraco2;Oculus Rift
13;138.52;27;buraco1;Oculus Rift
13;245.65;29;mesaCozinha;Oculus Rift
13;252.21;39;cadeirasNoCaminho-fun;Oculus Rift
13;269.60;43;quadroSolto;Oculus Rift
13;332.50;31;gaveta-cozinha-aberta;Oculus Rift
13;336.98;33;armarioAberto-fun;Oculus Rift
13;416.46;10;equips-mesma-tomada-fun;Oculus Rift
13;431.42;45;lixoNoChao;Oculus Rift
13;447.78;34;cadeiraCozinha;Oculus Rift
14;27.45;37;quadro-solto-prefab;Monitor
14;36.23;15;Produtos;Monitor
14;54.05;18;tapete-enrolado;Monitor
14;63.13;52;Lampada Estragada;Monitor
14;88.41;53;extinjtor-obstruido-patio;Monitor
14;104.01;19;corda-patio;Monitor
14;121.05;28;produtosLimpeza;Monitor
14;124.48;43;quadroSolto;Monitor
14;129.22;39;cadeirasNoCaminho-fun;Monitor
