user;setup;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;1;5;4;4;3;3;4;2;3;4;4;4;3;2;4;2
2;1;2;1;2;1;4;1;2;1;2;4;2;3;3;3;3
3;1;1;1;3;1;3;1;1;2;4;4;1;4;3;4;2
4;1;4;2;2;2;4;2;3;4;1;3;4;3;2;4;4
5;1;4;3;1;1;3;4;1;4;1;5;3;2;2;5;2
6;1;4;1;3;1;3;4;1;2;1;3;1;2;1;3;1
7;1;4;4;4;1;2;2;2;3;4;4;2;2;3;4;3
8;1;2;4;5;2;3;3;2;2;3;5;3;2;3;5;3
9;1;4;1;4;4;3;3;2;4;1;3;2;1;3;4;4
10;1;4;2;4;1;4;1;2;3;2;5;3;4;3;4;3
11;2;3;1;5;4;4;5;1;3;1;5;3;5;4;4;4
12;2;5;4;4;2;4;3;2;5;4;4;2;5;4;4;3
13;2;4;2;5;4;4;4;3;5;1;4;1;1;2;4;2
14;2;4;4;4;4;3;4;3;4;4;2;1;1;1;3;3
15;2;2;2;4;3;2;3;2;2;4;3;2;2;2;2;1
16;2;4;3;4;2;4;3;4;4;4;3;2;2;3;4;4
17;2;4;1;3;1;4;1;2;2;1;4;2;4;3;4;3
18;2;2;1;1;1;4;3;2;4;1;4;3;2;4;4;3
19;2;3;2;3;3;3;3;3;5;2;4;4;2;2;5;4
20;2;1;1;5;2;2;3;1;4;4;4;2;4;3;3;3
21;2;4;3;4;3;2;2;3;4;3;3;2;2;2;4;2
22;3;5;3;4;2;2;3;4;4;2;2;1;1;1;2;1
23;3;5;2;4;1;2;4;4;4;3;2;1;3;2;4;3
24;3;4;3;4;1;2;3;3;4;2;3;3;3;3;3;2
25;3;4;2;2;1;3;2;2;2;4;4;1;3;4;4;2
26;3;3;2;1;1;1;1;1;2;2;4;1;2;1;2;2
27;3;2;1;5;2;5;4;1;1;1;5;3;2;1;4;2
28;3;2;1;4;1;3;2;2;3;2;4;2;1;3;4;4
29;3;3;4;4;2;3;2;4;4;4;4;4;4;3;5;3
30;3;5;4;3;1;4;3;4;2;2;4;4;3;2;5;4
31;3;4;2;4;1;1;2;2;1;2;3;5;2;2;3;1
32;3;2;3;4;2;3;2;2;2;2;4;2;2;4;4;2
33;4;4;1;3;2;4;2;3;4;1;3;3;1;2;4;4
34;4;2;2;4;3;3;4;1;1;2;3;2;2;1;3;3
35;4;4;3;4;1;3;1;3;5;4;4;2;2;3;3;1
36;4;4;4;3;1;4;1;1;4;2;4;4;2;2;2;1
37;4;4;1;3;2;4;3;2;4;1;3;1;3;3;5;3
38;4;4;2;4;1;3;2;4;1;2;4;2;4;1;4;2
39;4;4;1;4;2;3;4;3;2;2;3;3;2;2;4;3
40;4;4;3;4;1;1;3;4;3;2;4;1;2;2;3;2
41;4;5;4;3;3;4;2;4;5;4;4;3;5;2;5;2
42;4;5;2;5;1;4;1;2;1;3;3;1;3;2;5;2
43;4;2;4;3;1;2;5;2;2;3;2;1;3;2;3;1
44;1;4;4;5;1;2;4;3;5;4;4;3;2;2;4;1
45;2;4;2;4;1;4;2;3;4;2;4;2;2;3;3;3
46;3;4;2;1;1;1;1;3;4;3;3;2;1;3;3;3
