user;setup;before;after;three_week
1;1;0.151428571;0.857142857;0.808571429
2;1;0.285714286;0.8;0.771428571
3;1;0.222857143;0.828571429;0.951428571
4;1;0.071428571;0.857142857;0.8
5;1;0.142857143;0.771428571;0.942857143
6;1;0.214285714;0.857142857;0.78
7;1;0.214285714;0.8;0.771428571
10;2;0.414285714;0.857142857;0.714285714
11;2;0.165714286;0.828571429;1
12;2;0.237142857;0.828571429;0.828571429
13;2;0.332857143;0.722857143;0.608571429
14;2;0.318571429;0.657142857;0.8
15;2;0.214285714;0.78;0.951428571
16;2;0.247142857;0.771428571;0.742857143
17;2;0.365714286;0.751428571;0.894285714
18;2;0.385714286;0.714285714;0.48
19;2;0.342857143;0.828571429;0.857142857
21;2;0;0.78;0.751428571
22;3;0.171428571;0.722857143;0.622857143
23;3;0.122857143;0.828571429;0.942857143
24;3;0.342857143;0.808571429;1
25;3;0.38;0.857142857;1
26;3;0.1;0.637142857;0.68
27;3;0.465714286;0.857142857;0.942857143
28;3;0.151428571;0.857142857;0.942857143
29;3;0.265714286;0.808571429;0.894285714
30;3;0.094285714;0.728571429;0.942857143
31;3;0.29;0.704285714;0.794285714
32;4;0.38;0.78;0.951428571
33;4;0.094285714;0.828571429;0.537142857
34;4;0.047142857;0.714285714;0.865714286
35;4;0.1;0.722857143;0.751428571
36;4;0.29;0.722857143;0.751428571
37;4;0.365714286;0.58;0.58
38;4;0.322857143;0.857142857;1
40;4;0.218571429;0.722857143;0.751428571
41;4;0.19;0.8;1
42;4;0.408571429;0.722857143;0.771428571
43;4;0.265714286;0.78;0.942857143
45;2;0.19;0.857142857;0.894285714
46;3;0.414285714;0.8;0.771428571
