user;setup;b1;b2;b3;b4;b5;b6;b7;a1;a2;a3;a4;a5;a6;a7
1;1;0.4;0;0.66;0;0;0;0;1;1;1;0;1;1;1
2;1;0;0.5;1;0;0;0;0.5;0.6;1;1;1;1;1;1
3;1;0.4;0.5;0.66;0;0;0;0;0.8;1;1;1;1;1;1
4;1;0;0;0;0;0;0;0.5;1;1;1;1;1;1;1
5;1;0;1;0;0;0;0;0;0.4;1;1;0;1;1;1
6;1;0;1;0;0;0;0;0.5;1;1;1;0;1;1;1
7;1;0;0;1;0;0;0;0.5;0.6;1;1;0;1;1;1
8;1;0;1;0;0;0;0;0;0.6;1;0;0;1;1;1
9;1;0.4;0.5;0.66;0;0;0;0.5;0.4;1;1;1;1;1;1
10;2;0.4;0.5;1;0;0;1;0;1;1;1;1;1;1;1
11;2;0;0;0.66;0;0;0;0.5;0.8;1;1;1;1;1;1
12;2;0;0;0.66;0;0;0;1;0.8;1;1;1;1;1;1
13;2;0;1;0.33;0;0;0;1;0.4;1;0.66;0;1;1;1
14;2;0.4;0;0.33;0;1;0;0.5;0.6;1;1;0;0;1;1
15;2;0;0;1;0;0;0;0.5;0.8;1;0.66;1;1;1;1
16;2;0.4;0;0.33;0;0;1;0;0.4;1;1;0;1;1;1
17;2;0.4;0;0.66;0;0;1;0.5;0.6;1;0.66;1;1;1;1
18;2;0.2;0.5;1;0;0;1;0;0;1;1;0;1;1;1
19;2;0.4;0;1;0;0;0;1;0.8;1;1;1;1;1;1
20;2;0.4;0.5;1;0;0;0;0.5;1;1;1;0;1;1;1
21;2;0;0;0;0;0;0;0;0.8;1;0.66;0;1;1;1
22;3;0.2;0;0;0;0;1;0;0.4;1;0.66;0;1;1;1
23;3;0.2;0;0.66;0;0;0;0;0.8;1;1;1;1;1;1
24;3;0.4;0;1;0;0;0;1;1;1;0.66;0;1;1;1
25;3;0;0.5;0.66;0;0;1;0.5;1;1;1;1;1;1;1
26;3;0.2;0.5;0;0;0;0;0;0.8;1;0.66;0;1;0;1
27;3;0.6;0.5;0.66;0;0;1;0.5;1;1;1;1;1;1;1
28;3;0.4;0;0.66;0;0;0;0;1;1;1;1;1;1;1
29;3;0.2;0;0.66;0;0;0;1;1;1;0.66;1;1;1;1
30;3;0;0;0.66;0;0;0;0;0.6;1;1;1;1;1;0.5
31;3;0.2;0.5;0.33;0;0;0;1;0.6;1;0.33;1;1;1;1
32;4;0;1;0.66;0;0;1;0;0.8;1;0.66;1;1;1;1
33;4;0;0;0.66;0;0;0;0;0.8;1;1;0;1;1;1
34;4;0;0;0.33;0;0;0;0;1;1;0;0;1;1;1
35;4;0.2;0.5;0;0;0;0;0;0.4;1;0.66;0;1;1;1
36;4;0.2;0.5;0.33;0;0;0;1;0.4;1;0.66;0;1;1;1
37;4;0.4;0.5;0.66;0;0;0;1;0.4;1;0.66;0;0;1;1
38;4;0.6;0.5;0.66;0;0;0;0.5;1;1;1;1;1;1;1
39;4;0.2;0.5;0.66;0;0;0;0;0.8;1;0.66;0;1;1;1
40;4;0.2;0.5;0.33;0;0;0;0.5;0.4;1;0.66;0;1;1;1
41;4;0;0;0.33;0;0;1;0;0.6;1;1;1;1;1;1
42;4;0.2;0;0.66;0;0;1;1;0.4;1;0.66;0;1;1;1
43;4;0.2;0.5;0.66;0;0;0;0.5;0.8;1;0.66;1;1;1;1
44;1;0.4;0.5;1;0;0;0;0.5;0.4;1;0.66;0;1;1;1
45;2;0;0;0.33;0;0;0;1;1;1;1;1;1;1;1
46;3;0.4;0.5;1;0;0;0;1;0.6;1;1;1;1;1;1
