user;setup;stage;time
1;1;learning;656.57
1;1;evaluation;350.40
1;1;evaluation2;310.05
2;1;learning;678.20
2;1;evaluation;382.29
2;1;evaluation2;309.92
3;1;learning;675.72
3;1;evaluation;407.60
3;1;evaluation2;327.24
4;1;learning;506.43
4;1;evaluation;358.36
4;1;evaluation2;334.49
5;1;learning;457.52
5;1;evaluation;239.34
5;1;evaluation2;198.77
6;1;learning;498.56
6;1;evaluation;277.90
6;1;evaluation2;241.58
7;1;learning;583.06
7;1;evaluation;376.99
7;1;evaluation2;354.45
8;1;learning;509.01
8;1;evaluation;290.23
8;1;evaluation2;233.85
9;1;learning;469.65
9;1;evaluation;287.61
9;1;evaluation2;189.11
10;1;learning;629.78
10;1;evaluation;304.16
10;1;evaluation2;360.85
11;2;learning;475.25
11;2;evaluation;289.51
11;2;evaluation2;320.69
12;2;learning;398.21
12;2;evaluation;263.73
12;2;evaluation2;246.56
13;2;learning;478.01
13;2;evaluation;280.37
13;2;evaluation2;296.60
14;2;learning;926.31
14;2;evaluation;494.71
14;2;evaluation2;408.56
15;2;learning;660.23
15;2;evaluation;407.64
15;2;evaluation2;253.43
16;2;learning;433.63
16;2;evaluation;290.24
16;2;evaluation2;298.88
17;2;learning;755.35
17;2;evaluation;414.64
17;2;evaluation2;338.75
18;2;learning;454.70
18;2;evaluation;230.69
18;2;evaluation2;212.75
19;2;learning;466.95
19;2;evaluation;358.10
19;2;evaluation2;347.30
20;2;learning;632.97
20;2;evaluation;335.89
20;2;evaluation2;266.59
21;2;learning;851.87
21;2;evaluation;553.44
21;2;evaluation2;515.85
22;3;learning;683.82
22;3;evaluation;460.35
22;3;evaluation2;382.80
23;3;learning;451.68
23;3;evaluation;271.64
23;3;evaluation2;299.33
24;3;learning;445.17
24;3;evaluation;457.45
24;3;evaluation2;408.21
25;3;learning;534.79
25;3;evaluation;493.40
25;3;evaluation2;358.07
26;3;learning;640.86
26;3;evaluation;575.05
26;3;evaluation2;459.68
27;3;learning;1109.44
27;3;evaluation;751.67
27;3;evaluation2;488.10
28;3;learning;795.92
28;3;evaluation;399.07
28;3;evaluation2;357.93
29;3;learning;663.43
29;3;evaluation;321.79
29;3;evaluation2;290.54
30;3;learning;779.22
30;3;evaluation;556.54
30;3;evaluation2;377.18
31;3;learning;713.38
31;3;evaluation;452.90
31;3;evaluation2;417.09
32;3;learning;820.35
32;3;evaluation;519.43
32;3;evaluation2;443.99
33;4;learning;913.01
33;4;evaluation;683.58
33;4;evaluation2;706.54
34;4;learning;795.99
34;4;evaluation;720.43
34;4;evaluation2;602.01
35;4;learning;662.67
35;4;evaluation;411.56
35;4;evaluation2;480.17
36;4;learning;538.32
36;4;evaluation;540.46
36;4;evaluation2;435.91
37;4;learning;898.30
37;4;evaluation;627.97
37;4;evaluation2;594.24
38;4;learning;628.90
38;4;evaluation;516.91
38;4;evaluation2;567.30
39;4;learning;933.75
39;4;evaluation;997.08
39;4;evaluation2;552.97
40;4;learning;810.13
40;4;evaluation;494.09
40;4;evaluation2;505.12
41;4;learning;789.64
41;4;evaluation;481.54
41;4;evaluation2;478.54
42;4;learning;940.91
42;4;evaluation;733.23
42;4;evaluation2;567.19
43;4;learning;773.20
43;4;evaluation;626.55
43;4;evaluation2;569.06
44;1;learning;687.48
44;1;evaluation;561.77
44;1;evaluation2;418.02
45;2;learning;559.25
45;2;evaluation;322.52
45;2;evaluation2;190.01
46;3;learning;976.69
46;3;evaluation;510.02
46;3;evaluation2;301.75
